date,user_id,position,value_prop_print,click_flag,views_last3_weeks,clicks_last3_weeks,pays_last3_weeks,import_pay_last3_weeks
2020-11-30,59706,0,send_money,0,0,0,0,0.0
2020-11-30,32191,0,link_cobro,0,1,0,0,0.0
2020-11-30,32191,1,transport,0,0,0,0,0.0
2020-11-30,32191,2,send_money,0,0,0,0,0.0
2020-11-30,53960,0,prepaid,0,0,0,0,0.0
2020-11-30,53960,1,link_cobro,0,0,0,0,0.0
2020-11-30,53960,2,send_money,0,1,1,0,0.0
2020-11-30,15909,0,credits_consumer,0,1,0,0,0.0
2020-11-30,15909,1,prepaid,0,0,0,0,0.0
2020-11-30,15909,2,transport,0,1,0,0,0.0
2020-11-30,43147,0,transport,0,0,0,0,0.0
2020-11-30,39943,0,transport,0,1,0,0,0.0
2020-11-30,39943,1,point,0,0,0,0,0.0
2020-11-30,21515,0,link_cobro,1,0,0,0,0.0
2020-11-30,21515,1,cellphone_recharge,0,1,1,0,0.0
2020-11-30,21515,2,prepaid,0,0,0,0,0.0
2020-11-30,96397,0,point,0,0,0,0,0.0
2020-11-30,96397,1,prepaid,0,0,0,0,0.0
2020-11-30,96397,2,link_cobro,0,1,0,1,10.31
2020-11-30,82425,0,cellphone_recharge,0,1,1,0,0.0
2020-11-30,82425,1,send_money,0,0,0,0,0.0
2020-11-30,82425,2,transport,0,0,0,0,0.0
2020-11-30,43979,0,point,1,0,0,0,0.0
2020-11-30,92274,0,cellphone_recharge,0,0,0,0,0.0
2020-11-30,92274,1,credits_consumer,0,0,0,0,0.0
2020-11-30,92274,2,transport,0,0,0,0,0.0
2020-11-30,92274,3,prepaid,0,0,0,0,0.0
2020-11-30,76483,0,send_money,0,1,0,0,0.0
2020-11-30,76483,1,link_cobro,0,1,1,0,0.0
2020-11-30,76483,2,cellphone_recharge,0,1,0,0,0.0
2020-11-30,76483,3,prepaid,0,0,0,0,0.0
2020-11-30,95835,0,transport,0,1,0,0,0.0
2020-11-30,59358,0,send_money,1,1,0,0,0.0
2020-11-30,59358,1,link_cobro,0,1,0,0,0.0
2020-11-30,59358,2,cellphone_recharge,0,0,0,0,0.0
2020-11-30,49845,0,transport,0,0,0,0,0.0
2020-11-30,49845,1,credits_consumer,0,0,0,0,0.0
2020-11-30,49845,2,prepaid,0,0,0,0,0.0
2020-11-30,49845,3,cellphone_recharge,0,0,0,0,0.0
2020-11-30,84109,0,send_money,0,0,0,0,0.0
2020-11-30,84109,1,credits_consumer,0,1,0,0,0.0
2020-11-30,64764,0,point,0,0,0,0,0.0
2020-11-30,64764,1,link_cobro,0,1,0,0,0.0
2020-11-30,83877,0,transport,0,1,0,0,0.0
2020-11-30,89253,0,prepaid,0,0,0,0,0.0
2020-11-30,89253,1,point,1,0,0,0,0.0
2020-11-30,89253,2,transport,0,0,0,0,0.0
2020-11-30,89253,3,cellphone_recharge,0,0,0,0,0.0
2020-11-30,95648,0,prepaid,0,2,0,0,0.0
2020-11-30,95648,1,transport,0,0,0,0,0.0
2020-11-30,95648,2,cellphone_recharge,0,1,0,0,0.0
2020-11-30,95648,3,send_money,0,1,0,0,0.0
2020-11-30,69632,0,prepaid,0,0,0,0,0.0
2020-11-30,73225,0,link_cobro,0,0,0,0,0.0
2020-11-30,73225,1,prepaid,0,0,0,0,0.0
2020-11-30,9223,0,transport,0,0,0,0,0.0
2020-11-30,9223,1,prepaid,0,0,0,0,0.0
2020-11-30,9223,2,credits_consumer,0,0,0,0,0.0
2020-11-30,57602,0,send_money,0,1,0,0,0.0
2020-11-30,57602,1,transport,0,0,0,0,0.0
2020-11-30,57602,2,credits_consumer,0,0,0,0,0.0
2020-11-30,24945,0,cellphone_recharge,0,1,0,0,0.0
2020-11-30,24945,1,send_money,0,0,0,0,0.0
2020-11-30,99147,0,send_money,0,0,0,0,0.0
2020-11-30,99147,1,transport,0,0,0,0,0.0
2020-11-30,62529,0,link_cobro,0,2,0,0,0.0
2020-11-30,39641,0,transport,0,1,0,0,0.0
2020-11-30,39641,1,credits_consumer,0,0,0,0,0.0
2020-11-30,42229,0,send_money,0,1,0,1,95.95
2020-11-30,85259,0,cellphone_recharge,0,0,0,0,0.0
2020-11-30,85259,1,prepaid,0,0,0,0,0.0
2020-11-30,85259,2,point,0,0,0,0,0.0
2020-11-30,85259,3,credits_consumer,0,0,0,0,0.0
2020-11-30,3104,0,cellphone_recharge,0,2,0,0,0.0
2020-11-30,3104,1,transport,0,2,0,0,0.0
2020-11-30,72325,0,send_money,0,1,1,0,0.0
2020-11-30,72325,1,prepaid,0,2,0,0,0.0
2020-11-30,72325,2,link_cobro,0,1,0,0,0.0
2020-11-30,72325,3,credits_consumer,0,0,0,0,0.0
2020-11-30,77853,0,cellphone_recharge,0,0,0,0,0.0
2020-11-30,77853,1,point,0,0,0,0,0.0
2020-11-30,76972,0,send_money,0,1,0,0,0.0
2020-11-30,76972,1,credits_consumer,0,0,0,0,0.0
2020-11-30,39820,0,prepaid,1,0,0,0,0.0
2020-11-30,39820,1,cellphone_recharge,0,0,0,0,0.0
2020-11-30,39820,2,transport,0,2,0,0,0.0
2020-11-30,39820,3,send_money,0,0,0,0,0.0
2020-11-30,77139,0,link_cobro,1,0,0,0,0.0
2020-11-30,45520,0,credits_consumer,0,0,0,0,0.0
2020-11-30,45520,1,point,0,0,0,0,0.0
2020-11-30,78099,0,prepaid,0,1,0,0,0.0
2020-11-30,78099,1,send_money,0,0,0,0,0.0
2020-11-30,78099,2,transport,0,0,0,0,0.0
2020-11-30,73099,0,transport,0,0,0,0,0.0
2020-11-30,73099,1,prepaid,0,0,0,0,0.0
2020-11-30,69681,0,prepaid,0,0,0,0,0.0
2020-11-30,68034,0,send_money,0,0,0,0,0.0
2020-11-30,46131,0,point,0,1,0,0,0.0
2020-11-30,46131,1,send_money,0,2,0,0,0.0
2020-11-30,46131,2,prepaid,0,0,0,0,0.0
2020-11-30,36598,0,transport,0,2,0,0,0.0
2020-11-30,36598,1,link_cobro,0,1,1,0,0.0
2020-11-30,36598,2,credits_consumer,0,2,0,0,0.0
2020-11-30,36598,3,prepaid,0,0,0,0,0.0
2020-11-30,15387,0,credits_consumer,0,0,0,0,0.0
2020-11-30,36331,0,send_money,1,1,0,0,0.0
2020-11-30,36331,1,link_cobro,0,2,0,0,0.0
2020-11-30,36331,2,cellphone_recharge,0,1,0,0,0.0
2020-11-30,36331,3,prepaid,0,1,0,0,0.0
2020-11-30,23048,0,link_cobro,0,0,0,0,0.0
2020-11-30,23048,1,point,0,0,0,0,0.0
2020-11-30,81515,0,prepaid,0,1,0,0,0.0
2020-11-30,81515,1,credits_consumer,0,0,0,0,0.0
2020-11-30,14449,0,cellphone_recharge,0,1,0,0,0.0
2020-11-30,14449,1,transport,0,1,0,0,0.0
2020-11-30,14449,2,point,0,0,0,0,0.0
2020-11-30,14449,3,link_cobro,0,1,0,0,0.0
2020-11-30,48938,0,link_cobro,0,1,1,0,0.0
2020-11-30,48938,1,send_money,0,0,0,0,0.0
2020-11-30,48938,2,transport,0,0,0,0,0.0
2020-11-30,48938,3,credits_consumer,0,0,0,0,0.0
2020-11-30,34404,0,prepaid,0,0,0,0,0.0
2020-11-30,34404,1,credits_consumer,0,0,0,0,0.0
2020-11-30,10127,0,transport,0,0,0,0,0.0
2020-11-30,10127,1,cellphone_recharge,0,0,0,0,0.0
2020-11-30,10127,2,prepaid,0,1,1,0,0.0
2020-11-30,11569,0,credits_consumer,0,1,0,0,0.0
2020-11-30,11569,1,transport,0,0,0,0,0.0
2020-11-30,11569,2,prepaid,1,1,0,0,0.0
2020-11-30,56168,0,prepaid,1,1,0,0,0.0
2020-11-30,56168,1,cellphone_recharge,0,0,0,0,0.0
2020-11-30,56168,2,credits_consumer,0,1,0,0,0.0
2020-11-30,59123,0,send_money,0,2,0,0,0.0
2020-11-30,59123,1,point,0,2,0,0,0.0
2020-11-30,46026,0,prepaid,0,0,0,0,0.0
2020-11-30,46026,1,credits_consumer,0,0,0,0,0.0
2020-11-30,46026,2,link_cobro,0,0,0,0,0.0
2020-11-30,46026,3,cellphone_recharge,1,0,0,0,0.0
2020-11-30,53746,0,transport,0,0,0,0,0.0
2020-11-30,47807,0,link_cobro,0,1,0,0,0.0
2020-11-30,47807,1,prepaid,0,2,0,0,0.0
2020-11-30,47807,2,send_money,0,2,0,0,0.0
2020-11-30,47807,3,credits_consumer,0,2,0,0,0.0
2020-11-30,58354,0,send_money,0,2,0,0,0.0
2020-11-30,58354,1,link_cobro,0,1,0,0,0.0
2020-11-30,58354,2,cellphone_recharge,0,0,0,0,0.0
2020-11-30,58354,3,prepaid,0,0,0,0,0.0
2020-11-30,50248,0,credits_consumer,0,2,0,0,0.0
2020-11-30,51300,0,cellphone_recharge,0,0,0,0,0.0
2020-11-30,5912,0,link_cobro,0,1,0,0,0.0
2020-11-30,5912,1,prepaid,0,0,0,0,0.0
2020-11-30,5912,2,transport,0,2,0,0,0.0
2020-11-30,48137,0,prepaid,1,0,0,0,0.0
2020-11-30,48137,1,point,0,0,0,0,0.0
2020-11-30,9415,0,transport,0,0,0,0,0.0
2020-11-30,9415,1,credits_consumer,0,1,0,0,0.0
2020-11-30,9415,2,link_cobro,0,1,0,0,0.0
2020-11-30,34122,0,point,0,2,1,0,0.0
2020-11-30,34122,1,send_money,0,2,0,1,0.81
2020-11-30,29226,0,transport,1,0,0,0,0.0
2020-11-30,29551,0,credits_consumer,0,0,0,0,0.0
2020-11-30,29551,1,transport,0,0,0,0,0.0
2020-11-30,33303,0,point,1,1,0,0,0.0
2020-11-30,79836,0,cellphone_recharge,0,1,0,0,0.0
2020-11-30,79836,1,send_money,0,1,0,0,0.0
2020-11-30,79836,2,prepaid,0,2,1,0,0.0
2020-11-30,37973,0,link_cobro,0,0,0,0,0.0
2020-11-30,74036,0,cellphone_recharge,0,1,0,0,0.0
2020-11-30,74036,1,prepaid,0,2,1,0,0.0
2020-11-30,74036,2,transport,1,1,0,0,0.0
2020-11-30,74036,3,send_money,0,1,0,1,15.68
2020-11-30,674,0,send_money,0,0,0,0,0.0
2020-11-30,70305,0,prepaid,0,2,0,0,0.0
2020-11-30,70305,1,send_money,0,0,0,0,0.0
2020-11-30,70305,2,link_cobro,0,0,0,0,0.0
2020-11-30,70305,3,credits_consumer,0,2,0,0,0.0
2020-11-30,15094,0,transport,0,0,0,0,0.0
2020-11-30,15094,1,point,0,0,0,0,0.0
2020-11-30,63582,0,cellphone_recharge,0,1,0,0,0.0
2020-11-30,63582,1,credits_consumer,0,0,0,0,0.0
2020-11-30,63582,2,transport,0,1,0,0,0.0
2020-11-30,63582,3,send_money,0,0,0,0,0.0
2020-11-30,380,0,link_cobro,0,0,0,0,0.0
2020-11-30,380,1,point,0,0,0,0,0.0
2020-11-30,59581,0,send_money,0,0,0,0,0.0
2020-11-30,59581,1,cellphone_recharge,1,2,0,0,0.0
2020-11-30,59581,2,link_cobro,0,0,0,0,0.0
2020-11-30,87715,0,point,0,0,0,0,0.0
2020-11-30,87715,1,transport,0,1,0,0,0.0
2020-11-30,87715,2,prepaid,1,0,0,0,0.0
2020-11-30,87715,3,link_cobro,1,1,0,0,0.0
2020-11-30,18728,0,cellphone_recharge,0,0,0,0,0.0
2020-11-30,18728,1,send_money,1,0,0,0,0.0
2020-11-30,18728,2,prepaid,0,0,0,0,0.0
2020-11-30,28217,0,link_cobro,0,0,0,0,0.0
2020-11-30,67815,0,point,0,0,0,0,0.0
2020-11-30,67815,1,transport,0,0,0,0,0.0
2020-11-30,67815,2,prepaid,0,0,0,0,0.0
2020-11-30,31819,0,transport,0,0,0,0,0.0
2020-11-30,31819,1,point,0,1,0,1,20.89
2020-11-30,45604,0,send_money,0,1,0,0,0.0
2020-11-30,45604,1,credits_consumer,0,1,0,0,0.0
2020-11-30,45604,2,cellphone_recharge,0,0,0,0,0.0
2020-11-30,83772,0,prepaid,0,1,0,0,0.0
2020-11-30,67865,0,prepaid,0,0,0,0,0.0
2020-11-30,67865,1,cellphone_recharge,0,0,0,0,0.0
2020-11-30,67865,2,send_money,0,0,0,0,0.0
2020-11-30,87588,0,credits_consumer,0,0,0,0,0.0
2020-11-30,87588,1,transport,0,1,0,0,0.0
2020-11-30,87588,2,send_money,0,0,0,0,0.0
2020-11-30,87588,3,prepaid,0,0,0,0,0.0
2020-11-30,44944,0,send_money,0,0,0,0,0.0
2020-11-30,80659,0,point,0,0,0,0,0.0
2020-11-30,80659,1,send_money,0,0,0,0,0.0
2020-11-30,11223,0,transport,1,0,0,0,0.0
2020-11-30,11223,1,link_cobro,1,0,0,0,0.0
2020-11-30,86065,0,cellphone_recharge,0,0,0,0,0.0
2020-11-30,86065,1,prepaid,0,0,0,0,0.0
2020-11-30,86065,2,point,0,0,0,0,0.0
2020-11-30,8601,0,send_money,0,0,0,0,0.0
2020-11-30,8601,1,credits_consumer,1,0,0,0,0.0
2020-11-30,8601,2,point,0,1,0,0,0.0
2020-11-30,8601,3,cellphone_recharge,0,0,0,0,0.0
2020-11-30,84022,0,point,0,1,0,0,0.0
2020-11-30,28572,0,send_money,0,0,0,0,0.0
2020-11-30,28572,1,prepaid,0,0,0,0,0.0
2020-11-30,34988,0,link_cobro,0,0,0,0,0.0
2020-11-30,63669,0,credits_consumer,0,0,0,0,0.0
2020-11-30,63669,1,transport,0,0,0,0,0.0
2020-11-30,63669,2,cellphone_recharge,0,0,0,0,0.0
2020-11-30,59729,0,point,0,0,0,0,0.0
2020-11-30,59729,1,send_money,0,0,0,0,0.0
2020-11-30,59729,2,prepaid,0,0,0,0,0.0
2020-11-30,24159,0,send_money,0,0,0,0,0.0
2020-11-30,24159,1,credits_consumer,1,0,0,0,0.0
2020-11-30,24159,2,transport,0,0,0,0,0.0
2020-11-30,32095,0,transport,0,0,0,0,0.0
2020-11-30,99929,0,send_money,1,1,0,0,0.0
2020-11-30,99929,1,cellphone_recharge,0,1,1,1,70.58
2020-11-30,99929,2,transport,0,2,0,0,0.0
2020-11-30,99929,3,point,0,1,1,0,0.0
2020-11-30,82625,0,credits_consumer,0,1,0,0,0.0
2020-11-30,6269,0,point,0,0,0,0,0.0
2020-11-30,6269,1,send_money,0,0,0,0,0.0
2020-11-30,57819,0,send_money,0,0,0,0,0.0
2020-11-30,57819,1,transport,0,0,0,0,0.0
2020-11-30,57819,2,prepaid,1,0,0,0,0.0
2020-11-30,57819,3,link_cobro,0,1,0,0,0.0
2020-11-30,51237,0,credits_consumer,0,0,0,0,0.0
2020-11-30,51237,1,send_money,0,0,0,0,0.0
2020-11-30,51237,2,cellphone_recharge,0,0,0,0,0.0
2020-11-30,22803,0,transport,0,0,0,0,0.0
2020-11-30,26235,0,transport,0,0,0,0,0.0
2020-11-30,26235,1,point,0,0,0,0,0.0
2020-11-30,26235,2,credits_consumer,0,0,0,0,0.0
2020-11-30,43310,0,transport,0,0,0,0,0.0
2020-11-30,43310,1,point,0,1,1,0,0.0
2020-11-30,43310,2,prepaid,1,0,0,0,0.0
2020-11-30,42471,0,link_cobro,0,0,0,0,0.0
2020-11-30,74279,0,transport,1,0,0,0,0.0
2020-11-30,74279,1,credits_consumer,0,1,0,0,0.0
2020-11-30,74279,2,send_money,0,1,0,0,0.0
2020-11-30,74279,3,point,0,1,0,0,0.0
2020-11-30,87945,0,prepaid,0,0,0,0,0.0
2020-11-30,87945,1,send_money,0,1,0,0,0.0
2020-11-30,87945,2,credits_consumer,0,0,0,0,0.0
2020-11-30,20061,0,link_cobro,0,0,0,0,0.0
2020-11-30,20061,1,point,0,0,0,0,0.0
2020-11-30,84401,0,link_cobro,0,1,0,0,0.0
2020-11-30,37223,0,point,0,1,0,1,37.28
2020-11-30,37223,1,send_money,0,0,0,0,0.0
2020-11-30,87470,0,transport,0,0,0,0,0.0
2020-11-30,87470,1,credits_consumer,0,0,0,0,0.0
2020-11-30,87470,2,send_money,0,1,0,0,0.0
2020-11-30,87470,3,cellphone_recharge,0,0,0,0,0.0
2020-11-30,60615,0,prepaid,0,0,0,0,0.0
2020-11-30,60615,1,cellphone_recharge,0,1,0,0,0.0
2020-11-30,60615,2,send_money,0,2,0,0,0.0
2020-11-30,60615,3,link_cobro,1,1,0,0,0.0
2020-11-30,11598,0,point,0,0,0,0,0.0
2020-11-30,11598,1,send_money,0,0,0,0,0.0
2020-11-30,11598,2,credits_consumer,0,0,0,0,0.0
2020-11-30,85519,0,transport,0,0,0,0,0.0
2020-11-30,85519,1,point,0,0,0,0,0.0
2020-11-30,85519,2,credits_consumer,0,0,0,0,0.0
2020-11-30,85519,3,cellphone_recharge,0,0,0,0,0.0
2020-11-30,53334,0,transport,0,0,0,0,0.0
2020-11-30,53334,1,prepaid,0,0,0,0,0.0
2020-11-30,57285,0,send_money,0,0,0,0,0.0
2020-11-30,57285,1,link_cobro,0,0,0,0,0.0
2020-11-30,57285,2,prepaid,0,0,0,0,0.0
2020-11-30,57285,3,cellphone_recharge,0,0,0,0,0.0
2020-11-30,34966,0,link_cobro,0,0,0,0,0.0
2020-11-30,34966,1,credits_consumer,0,1,0,0,0.0
2020-11-30,34966,2,transport,0,0,0,0,0.0
2020-11-30,34966,3,prepaid,0,2,0,0,0.0
2020-11-30,17424,0,send_money,0,0,0,0,0.0
2020-11-30,17424,1,cellphone_recharge,0,0,0,0,0.0
2020-11-30,17424,2,prepaid,0,0,0,0,0.0
2020-11-30,17424,3,credits_consumer,0,0,0,0,0.0
2020-11-30,29115,0,transport,0,1,0,0,0.0
2020-11-30,29115,1,send_money,0,0,0,0,0.0
2020-11-30,29115,2,cellphone_recharge,0,0,0,0,0.0
2020-11-30,38817,0,transport,0,0,0,0,0.0
2020-11-30,38817,1,point,0,2,0,0,0.0
2020-11-30,38817,2,link_cobro,0,0,0,0,0.0
2020-11-30,92567,0,transport,0,1,0,0,0.0
2020-11-30,92567,1,send_money,0,2,0,0,0.0
2020-11-30,92567,2,link_cobro,0,0,0,0,0.0
2020-11-30,92567,3,point,0,1,1,0,0.0
2020-11-30,41755,0,transport,1,1,0,0,0.0
2020-11-30,41755,1,link_cobro,1,0,0,0,0.0
2020-11-30,41755,2,prepaid,1,1,0,0,0.0
2020-11-30,41755,3,credits_consumer,0,1,0,0,0.0
2020-11-30,21812,0,cellphone_recharge,0,0,0,0,0.0
2020-11-30,21812,1,prepaid,0,1,0,0,0.0
2020-11-30,27099,0,send_money,0,0,0,0,0.0
2020-11-30,27099,1,prepaid,0,0,0,0,0.0
2020-11-30,53509,0,prepaid,0,0,0,0,0.0
2020-11-30,53509,1,point,0,1,0,0,0.0
2020-11-30,94425,0,point,0,0,0,0,0.0
2020-11-30,10084,0,prepaid,0,1,1,0,0.0
2020-11-30,10084,1,transport,0,1,1,0,0.0
2020-11-30,10084,2,credits_consumer,0,0,0,0,0.0
2020-11-30,61759,0,point,0,0,0,0,0.0
2020-11-30,61759,1,cellphone_recharge,0,1,0,0,0.0
2020-11-30,61759,2,transport,0,1,0,0,0.0
2020-11-30,61759,3,link_cobro,0,0,0,0,0.0
2020-11-30,56389,0,credits_consumer,0,0,0,0,0.0
2020-11-30,44090,0,credits_consumer,0,1,0,0,0.0
